Month,Day,2011,2012
1,1,146e3,169e3
1,2,171e3,166e3
1,3,205e3,163e3
1,4,209e3,153e3
1,5,2e5,146e3
1,6,202e3,146e3
1,7,204e3,136e3
1,8,203e3,129e3
1,9,199e3,122e3
1,10,181e3,115e3
1,11,165e3,117e3
1,12,161e3,118e3
1,13,151e3,117e3
1,14,144e3,116e3
1,15,142e3,115e3
1,16,149e3,112e3
1,17,155e3,111e3
1,18,155e3,11e4
1,19,149e3,11e4
1,20,146e3,113e3
1,21,141e3,114e3
1,22,136e3,115e3
1,23,134e3,123e3
1,24,134e3,13e4
1,25,138e3,133e3
1,26,138e3,132e3
1,27,132e3,141e3
1,28,131e3,15e4
1,29,133e3,152e3
1,30,131e3,152e3
1,31,129e3,151e3
2,1,13e4,153e3
2,2,131e3,156e3
2,3,127e3,16e4
2,4,121e3,161e3
2,5,118e3,168e3
2,6,118e3,182e3
2,7,124e3,187e3
2,8,133e3,192e3
2,9,133e3,197e3
2,10,127e3,194e3
2,11,124e3,183e3
2,12,123e3,171e3
2,13,124e3,159e3
2,14,13e4,143e3
2,15,136e3,131e3
2,16,141e3,131e3
2,17,152e3,131e3
2,18,197e3,132e3
2,19,287e3,134e3
2,20,341e3,138e3
2,21,375e3,138e3
2,22,398e3,134e3
2,23,412e3,13e4
2,24,422e3,127e3
2,25,44e4,127e3
2,26,448e3,128e3
2,27,458e3,126e3
2,28,469e3,124e3
2,29,NA,124e3
3,1,471e3,126e3
3,2,484e3,133e3
3,3,502e3,133e3
3,4,503e3,134e3
3,5,497e3,14e4
3,6,497e3,149e3
3,7,492e3,161e3
3,8,486e3,178e3
3,9,483e3,184e3
3,10,477e3,178e3
3,11,473e3,17e4
3,12,47e4,16e4
3,13,468e3,166e3
3,14,471e3,171e3
3,15,478e3,18e4
3,16,47e4,191e3
3,17,468e3,211e3
3,18,466e3,237e3
3,19,444e3,256e3
3,20,414e3,247e3
3,21,393e3,232e3
3,22,381e3,224e3
3,23,373e3,258e3
3,24,368e3,338e3
3,25,368e3,364e3
3,26,375e3,369e3
3,27,381e3,366e3
3,28,389e3,352e3
3,29,398e3,322e3
3,30,405e3,299e3
3,31,408e3,274e3
4,1,407e3,262e3
4,2,404e3,26e4
4,3,401e3,263e3
4,4,395e3,265e3
4,5,392e3,268e3
4,6,387e3,269e3
4,7,383e3,249e3
4,8,383e3,222e3
4,9,383e3,201e3
4,10,385e3,186e3
4,11,391e3,18e4
4,12,408e3,178e3
4,13,418e3,171e3
4,14,426e3,165e3
4,15,428e3,166e3
4,16,428e3,209e3
4,17,422e3,289e3
4,18,428e3,306e3
4,19,443e3,304e3
4,20,465e3,308e3
4,21,483e3,31e4
4,22,497e3,289e3
4,23,53e4,263e3
4,24,595e3,246e3
4,25,659e3,232e3
4,26,718e3,219e3
4,27,768e3,208e3
4,28,803e3,198e3
4,29,81e4,195e3
4,30,803e3,207e3
5,1,814e3,217e3
5,2,853e3,244e3
5,3,792e3,279e3
5,4,714e3,301e3
5,5,678e3,296e3
5,6,657e3,292e3
5,7,632e3,319e3
5,8,611e3,343e3
5,9,589e3,351e3
5,10,573e3,349e3
5,11,556e3,347e3
5,12,545e3,338e3
5,13,536e3,326e3
5,14,532e3,31e4
5,15,533e3,298e3
5,16,536e3,287e3
5,17,535e3,279e3
5,18,527e3,271e3
5,19,524e3,262e3
5,20,513e3,258e3
5,21,507e3,259e3
5,22,51e4,26e4
5,23,522e3,254e3
5,24,53e4,237e3
5,25,538e3,221e3
5,26,541e3,208e3
5,27,545e3,188e3
5,28,555e3,162e3
5,29,576e3,148e3
5,30,595e3,151e3
5,31,607e3,158e3
6,1,61e4,158e3
6,2,603e3,16e4
6,3,596e3,167e3
6,4,588e3,172e3
6,5,583e3,174e3
6,6,577e3,178e3
6,7,577e3,185e3
6,8,578e3,192e3
6,9,579e3,196e3
6,10,572e3,194e3
6,11,564e3,192e3
6,12,556e3,192e3
6,13,547e3,194e3
6,14,535e3,193e3
6,15,529e3,192e3
6,16,527e3,188e3
6,17,53e4,187e3
6,18,543e3,187e3
6,19,564e3,186e3
6,20,59e4,181e3
6,21,604e3,176e3
6,22,612e3,166e3
6,23,614e3,159e3
6,24,611e3,156e3
6,25,608e3,159e3
6,26,602e3,161e3
6,27,599e3,159e3
6,28,6e5,158e3
6,29,596e3,157e3
6,30,599e3,16e4
7,1,604e3,163e3
7,2,612e3,164e3
7,3,618e3,168e3
7,4,62e4,174e3
7,5,621e3,172e3
7,6,619e3,168e3
7,7,607e3,163e3
7,8,596e3,163e3
7,9,588e3,166e3
7,10,576e3,169e3
7,11,566e3,16e4
7,12,553e3,149e3
7,13,54e4,139e3
7,14,53e4,135e3
7,15,52e4,128e3
7,16,504e3,121e3
7,17,493e3,117e3
7,18,479e3,113e3
7,19,467e3,111e3
7,20,452e3,11e4
7,21,435e3,108e3
7,22,421e3,105e3
7,23,411e3,104e3
7,24,403e3,105e3
7,25,402e3,103e3
7,26,403e3,99400
7,27,404e3,96400
7,28,411e3,95600
7,29,42e4,95500
7,30,424e3,95400
7,31,429e3,95200
8,1,43e4,96100
8,2,431e3,96300
8,3,437e3,94900
8,4,443e3,92800
8,5,446e3,91e3
8,6,445e3,88700
8,7,44e4,86500
8,8,427e3,85200
8,9,409e3,86900
8,10,398e3,87900
8,11,388e3,87900
8,12,378e3,84800
8,13,371e3,79300
8,14,371e3,77100
8,15,366e3,76400
8,16,358e3,77100
8,17,351e3,78600
8,18,349e3,79200
8,19,349e3,79400
8,20,347e3,79300
8,21,343e3,78900
8,22,343e3,79600
8,23,34e4,79700
8,24,334e3,78900
8,25,332e3,78400
8,26,333e3,78100
8,27,336e3,77e3
8,28,333e3,77200
8,29,324e3,77400
8,30,318e3,81600
8,31,311e3,84600
9,1,298e3,87100
9,2,287e3,92600
9,3,277e3,103e3
9,4,27e4,11e4
9,5,266e3,107e3
9,6,263e3,99500
9,7,26e4,95300
9,8,259e3,91900
9,9,253e3,91600
9,10,245e3,94300
9,11,24e4,93100
9,12,232e3,91200
9,13,222e3,85800
9,14,215e3,78800
9,15,217e3,74400
9,16,22e4,73400
9,17,207e3,73400
9,18,196e3,72900
9,19,186e3,74700
9,20,183e3,79300
9,21,184e3,78700
9,22,192e3,76200
9,23,196e3,75e3
9,24,189e3,74e3
9,25,192e3,72800
9,26,201e3,72200
9,27,199e3,75400
9,28,198e3,83500
9,29,195e3,85300
9,30,199e3,84e3
10,1,207e3,82200
10,2,205e3,78900
10,3,199e3,75600
10,4,195e3,74500
10,5,191e3,74300
10,6,185e3,74600
10,7,175e3,75600
10,8,165e3,76700
10,9,155e3,76500
10,10,153e3,75100
10,11,149e3,70900
10,12,14e4,68200
10,13,132e3,66900
10,14,127e3,66500
10,15,125e3,69500
10,16,126e3,79600
10,17,126e3,91900
10,18,128e3,1e5
10,19,131e3,96200
10,20,133e3,89e3
10,21,133e3,85900
10,22,131e3,86900
10,23,127e3,88800
10,24,124e3,90600
10,25,121e3,94700
10,26,121e3,97600
10,27,121e3,96700
10,28,122e3,96900
10,29,124e3,95600
10,30,123e3,94600
10,31,122e3,94200
11,1,119e3,93300
11,2,114e3,91800
11,3,112e3,89e3
11,4,113e3,88700
11,5,123e3,88e3
11,6,13e4,87e3
11,7,13e4,85500
11,8,129e3,84200
11,9,136e3,84e3
11,10,144e3,84e3
11,11,15e4,84100
11,12,154e3,86400
11,13,157e3,88900
11,14,159e3,87900
11,15,169e3,87800
11,16,171e3,91700
11,17,169e3,96500
11,18,164e3,96200
11,19,154e3,91700
11,20,145e3,88300
11,21,146e3,86600
11,22,148e3,85200
11,23,152e3,85300
11,24,154e3,86400
11,25,15e4,86800
11,26,144e3,83900
11,27,15e4,80900
11,28,152e3,80100
11,29,161e3,81700
11,30,169e3,82800
12,1,173e3,82700
12,2,171e3,80500
12,3,168e3,77e3
12,4,164e3,74300
12,5,181e3,73500
12,6,186e3,75500
12,7,178e3,77400
12,8,177e3,76900
12,9,18e4,74100
12,10,185e3,74500
12,11,186e3,76e3
12,12,177e3,75e3
12,13,168e3,73700
12,14,163e3,72900
12,15,176e3,72e3
12,16,181e3,7e4
12,17,184e3,67700
12,18,199e3,65900
