Pot,Plants,Microbe_History,Microbe_mesocosm,Contemp_Water,plantlocation,Plant_Mesocosm,Plant_History,Planting_notes,Germination_date,Relative_germination_date,Germination_Notes,Flowering_Date,Relative_Flowering_Date,Leaf_number_at_flowering,height_at_flowering,flowering_notes,survival,Days_to_flower,Fruiting_notes,Fruit_number,Final_height,Thrip_damage,Flower_number,Plant_stage_at_experiment_end,Harvest_notes,Seed_number,Total_seed_mass,Mean_seed_mass,Aboveground_biomass
3,Mixed,Wet microbes,11,Dry,3,1,Dry,,19-Jan,3,,,,,,,Alive,,all bud,0,8.5,1,15,,,0,0,0.0,0.0268
9,Mixed,Wet microbes,21,Wet,4,1,Dry,,17-Jan,1,2 seeds,6-Feb,21,4,9,,Alive,20,buds,9,10.5,2,34,,,6,0.0139,2.3,0.0561
18,Mixed,Wet microbes,23,Dry,4,1,Dry,,17-Jan,1,,20-Feb,35,4,4.5,,Alive,34,,1,10,1,28,,,0,0,0.0,0.0332
24,Mixed,Wet microbes,11,Wet,4,1,Dry,,,,,17-Feb,32,4,8,,Alive,,"all immature, bud",10,16.5,2,59,bud,,0,0,0.0,0.0915
31,Mixed,Dry microbes,24,Wet,4,1,Dry,,17-Jan,1,,10-Feb,25,5,11.5,,Alive,24,,9,21.5,1,70,immature fruit,all fruits are immature,0,0,0.0,0.1011
38,Mixed,Wet microbes,23,Wet,3,1,Dry,,,,,,,,,,Alive,,,0,15.5,1,32,bud,,0,0,0.0,0.0811
46,Mixed,Dry microbes,8,Wet,4,1,Dry,,18-Jan,2,,,,,,bud,,,bud,2,17.5,1,69,bud,,0,0,0.0,0.0942
48,Mixed,Wet microbes,1,Dry,3,1,Dry,,17-Jan,1,,9-Feb,24,2,8,,Alive,23,,3,12,1,24,bud,,2,0.0074,3.7,0.0508
54,Mixed,Dry microbes,19,Dry,4,1,Dry,,17-Jan,1,,6-Feb,21,4,9.5,,Alive,20,,2,10,2,26,,,1,0.0031,3.1,0.0411
59,Mixed,Dry microbes,24,Wet,4,1,Dry,,20-Jan,4,,7-Feb,22,4,12.5,,Alive,18,,2,14.5,1,5,,,14,0.0154,1.1,0.0264
64,Mixed,Dry microbes,24,Dry,3,1,Dry,,,,,,,,,No Plant,dead,,No Plant,,,,,,,0,,,
68,Mixed,Wet microbes,1,Wet,4,1,Dry,,18-Jan,2,,,,,,,Alive,,,4,9.5,1,15,,,0,0,0.0,0.0467
77,Mixed,Dry microbes,24,Wet,3,1,Dry,,20-Jan,4,,11-Feb,26,4,9,,Alive,22,,3,9.5,1,14,,,6,0.0095,1.6,0.0271
80,Mixed,Wet microbes,1,Dry,3,1,Dry,,,,,15-Feb,30,4,4.5,,Alive,,,1,4.5,1,10,,,0,0,0.0,0.0077
81,Mixed,Wet microbes,11,Dry,3,1,Dry,,21-Jan,5,,10-Feb,25,4,14,,Alive,20,,1,11,2,9,,,,,,
